Tipo;Celda
Procesado;"for i, n in enumerate(basin_name): 
    for j in range(len(FsimdateJunk1[n])):
        FsimdateJunk2[n].append(str(FsimdateJunk1[n][j][0])+'-'+str(FsimdateJunk1[n][j][1])) 
        FobsdateJunk2[n].append(str(FobsdateJunk1[n][j][0])+'-'+str(FobsdateJunk1[n][j][1]))
for i, n in enumerate(basin_name):
    for j in range(len(FsimdateJunk2[n])):
        Fsimdate[n].append(datetime.datetime.strptime(FsimdateJunk2[n][j],'%Y-%m-%d-%H:%M:%S'))
        Fobsdate[n].append(datetime.datetime.strptime(FobsdateJunk2[n][j],'%Y-%m-%d-%H:%M:%S'))
for i, n in enumerate(basin_name):
    for j in range(len(Junkdate[n])):
        FsimJunkdate[n].append(datetime.datetime.strptime(Junkdate[n][i],'%m/%d/%Y-%H:%M:%S'))"
Procesado;"for i, n in enumerate(basin_name):
    ax = plt.subplot(3, 2, jj)
    fig.subplots_adjust(hspace = 0.3, wspace = 0.3)
    props = dict(boxstyle='round', facecolor='wheat', alpha=0.5)
    ax.text(.95,.02, str(n), fontsize=12, horizontalalignment='right', transform=ax.transAxes)
    
    textstr1 = '$R^2 = %.2f$' % r2_sed[n]
    ax.text(0.05, 0.94, textstr1, fontsize=14, transform=ax.transAxes, verticalalignment='top', bbox=props)
    
    if (n == 'Mercer'):     
        plt.xlim([0, 120])
        plt.ylim([0, 120])
        x = range(0, 121)
        y = x
        plt.plot(x, y,linestyle='--', color='grey')
    if (n == 'Thornton'): 
        plt.xlim([0, 300])
        plt.ylim([0, 300])
        # add 1:1 line
        x = range(0, 301)
        y = x
        plt.plot(x, y,linestyle='--', color='grey')
    if (n == 'Issaquah'): 
        ax.set_yscale('log')
        ax.set_xscale('log')
        x = range(0, 9000)
        y = x
        plt.plot(x, y,linestyle='--', color='grey')
        plt.xlabel('obs (mg/l))', fontsize=12., labelpad=5)
    plt.ylabel('sim (mg/l)', fontsize=12., labelpad=5)
    
    ax.scatter(sobs[n], ssim[n], s=15, c='black', alpha=0.8)    
    jj = jj + 1
    ax = plt.subplot(3, 2, jj)
    jj = jj + 1
    nnn = len(sobs[n])
    d = np.linspace(1, nnn, num=nnn)/(nnn+1)
    y  = norm.ppf(d,0,1);
    
    # create the axis ticks
    p  = [0.01, 0.25, 0.5, 0.75, 0.9, 0.99];

    tick  = norm.ppf(p,0,1);
    label = ['0.01','0.25','0.5','0.75','0.9','0.99'];
    sobs[n].sort()
    ssim[n].sort()
    ax.plot(y, ssim[n], 'r+', label='sim')
    ax.plot(y, sobs[n],'k*', label='obs')
    if (n == 'Issaquah'):
        ax.set_yscale('log')
    
    print 'Kolmogorov-Smirnov Test: ', stats.ks_2samp(ssim[n], sobs[n])
    ax.xaxis.set_major_locator(ticker.FixedLocator(tick))
    ax.xaxis.set_major_formatter(ticker.FixedFormatter(label))
    ax.tick_params(axis='x', labelsize=11)
    
    if (i == 0):
        ax.legend(loc='best', numpoints = 1)
    plt.ylabel('conc. (mg/l)', fontsize=12., labelpad=5)
    if (n == 'Issaquah'):
        plt.xlabel('probability', fontsize=12., labelpad=5)
"
Procesado;"for i in range(len(FsimSed)):
    if (FsimSed[i] > 30 or FobsSed[i] > 30):
        f.append(Fsimdate[i])
        c.append(FsimSed[i])
        d.append(FsimSedPost[i]) 
        e.append(FsimSedPre[i])"
Procesado;"for variable in list_variables:
    for categories in variable.getchildren():
        for category in categories.iter(""category""):
            for labels in category.iter(""labels""):
                for element in labels.iter(""text""):
                    if element.attrib['{http://www.w3.org/XML/1998/namespace}lang']=='de-DE':
                        print(variable.attrib['name'],category.attrib['name'], element.text)
                        df = df.append(pd.Series([variable.attrib['id'].replace('_',''),category.attrib['id'],variable.attrib['name'],category.attrib['name'], element.text]),ignore_index=True)"
Procesado;"for categories in list_categories:
    for category in categories.iter(""category""):
        for properties in category.iter(""properties""):
            for prop in properties.iter(""property""):
                try:
                    dfp = dfp.append(pd.Series([category.attrib['id'],prop.attrib['name'],prop.attrib['value']]),ignore_index=True)
                except (NameError, KeyError):
                    pass"
Procesado;" while(i<n1 and j<n2):
        if list1[i]<=list2[j]:
            merged_list.append(list1[i])
            i+=1
        else:
            merged_list.append(list2[j])
            j+=1        
    if(i==n1 and j<n2):
        for x in range(j,n2):
            merged_list.append(list2[x])
    elif(j==n2 and i<n1):
        for y in range(i,n1):
            merged_list.append(list1[y])"
Procesado;" if runNum>initialRun:
        for ii in np.arange(initialRun, runNum):
            [s,e] = parseLog(cursor, str(ii).zfill(3))
            offset += len(s)"
Procesado;"for ii,s in enumerate(start):
        if forceWrite or (ii>storedEvent+offset):
            pickleEvent(dbase, run, s, e[ii], ii+offset, path)"
Procesado;"i = 0
response_data = []
for i in range(100):
    try:
        response_data.append(requests.get(url).json())
        i += 1
        time.sleep(3)
    except ValueError:
        continue"
Procesado;"fpath = path + '/book/'
for json_file in response_data:
    with open(path + 'book_'+ str(datetime.now()) +'.json', 'w') as outfile:
        json.dump(json_file, outfile)
        time.sleep(3)"
