,Classifier,Accuracy,Matthews,F1
0,Decision Tree_configuracion,0.7666666666666667,0.5303491306562569,0.787878787878788
1,Decision Tree_visualizacion,0.6,0.1721600753908879,0.6666666666666667
2,Decision Tree_procesado,0.8666666666666667,0.7410714285714286,0.8666666666666666
3,GaussianNB_config,0.5333333333333333,0.0,0.6956521739130436
4,GaussianNB_visualizacion,0.43333333333333335,0.0,0.0
5,GaussianNB_procesado,0.5333333333333333,0.0,0.0
6,MLPClassifier_configuracion,0.5,0.17370208344491278,0.11764705882352941
7,MLPClassifier_visualizacion,0.5666666666666667,0.0,0.7234042553191489
8,MLPCLassifier_procesado,0.5,0.17370208344491278,0.6511627906976745
9,RandomForestClassifier_config,0.7333333333333333,0.4732142857142857,0.7333333333333334
10,RandomForestClassifier_visualizacion,0.6333333333333333,0.24715576637149037,0.6857142857142857
11,RandomForest_procesado,0.8,0.6273764344284781,0.8125000000000001
